method,seed,alpha,tau_hat,cal_accepted_loss_mass,test_accepted_loss_mass,test_selective_risk,test_coverage,test_selective_acc,test_abstention_rate,violation_gap,violated,auroc,aupr,rc_auc_alm,rc_auc_risk,conservativeness,oracle_coverage,coverage_efficiency,ood_accept_rate,dar,safety_ratio,dataset,temperature
CRC-Select,123,0.15,0.0,0.0778106898069381,0.0828931555151939,0.0828931555151939,1.0,0.920799970626831,0.0,0.0,False,0.905743742814768,0.4869862592572302,0.0119961967800363,0.0146381237235266,0.0672407016158103,1.0,1.0,,,,cifar10,
CRC-Select,123,0.2,0.0,0.0766262263059616,0.0843107625842094,0.0843107625842094,1.0,0.9210000038146972,0.0,0.0,False,0.9050019928806056,0.4686438509074467,0.0123733316391407,0.0142200546085702,0.1188043922185898,1.0,1.0,,,,cifar10,
CRC-Select,456,0.01,0.9109109044075012,0.0096569303423166,0.0102673815563321,0.0129442531615495,0.7932000160217285,0.9884014129638672,0.2067999839782714,0.0002673815563321,True,0.9033507316924616,0.4358934047231455,0.0109761341037047,0.0123559310748795,-0.0010803861171007,0.7911999821662903,1.0123862703500108,,,,cifar10,
CRC-Select,456,0.02,0.157157152891159,0.0197904054075479,0.0167855061590671,0.0198692064732313,0.8447999954223633,0.9815340638160706,0.1552000045776367,0.0,False,0.9076323623839824,0.4876514449425852,0.011364842344454,0.0125649679816831,0.0001786001771688,0.8632000088691711,0.9902687408512016,,,,cifar10,
CRC-Select,456,0.05,2.535809289838653e-05,0.0497973747551441,0.0442251823842525,0.0470480658113956,0.9399999976158142,0.9553191661834716,0.0600000023841857,0.0,False,0.9076172931273958,0.4505124584782913,0.0112221373421673,0.0125419687885548,0.0056368701159954,0.8912000060081482,1.0558796885068775,,,,cifar10,
CRC-Select,456,0.1,0.0,0.0809361040592193,0.080290637910366,0.080290637910366,1.0,0.9243999719619752,0.0,0.0,False,0.913529496610414,0.4775792353100514,0.0116641132553326,0.012874262960574,0.0212693125009536,1.0,1.0,,,,cifar10,
CRC-Select,456,0.15,0.0,0.0827925130724906,0.0753398165106773,0.0753398165106773,1.0,0.9283999800682068,0.0,0.0,False,0.9073262945320718,0.4674340743142902,0.0116077759081243,0.0124761569551478,0.0708158329129219,1.0,1.0,,,,cifar10,
CRC-Select,456,0.2,0.0,0.0842731148004531,0.077405072748661,0.077405072748661,1.0,0.9264000058174132,0.0,0.0,False,0.9086699566343772,0.4846116818370505,0.0108047977042095,0.0125888623121032,0.1214842393994331,1.0,1.0,,,,cifar10,
CRC-Select,999,0.01,0.846523106098175,0.0096846325322985,0.013061499223113,0.0164130423218011,0.795799970626831,0.984920859336853,0.2042000293731689,0.003061499223113,True,0.9055791479824544,0.4618354607250746,0.0122083149318871,0.0142735989160556,-0.0022354123741388,0.0,0.0,,,,cifar10,
CRC-Select,999,0.02,0.0276065859943628,0.0196749586611986,0.0220593940466642,0.0256028268486261,0.8615999817848206,0.9758588671684264,0.1384000182151794,0.0020593940466642,True,0.902042711234912,0.4454861271515144,0.0122195548942934,0.0139754935610867,-0.0016164011508226,0.8443999886512756,1.0116058941399189,,,,cifar10,
CRC-Select,999,0.05,1.3076843970338814e-05,0.0497522391378879,0.0485905148088932,0.0513424724340438,0.946399986743927,0.9518173933029176,0.053600013256073,0.0,False,0.9011167414800978,0.4481111021971335,0.0121727601148989,0.0139217911460499,0.0023239620029926,0.8855999708175659,1.0623306709116804,,,,cifar10,
CRC-Select,999,0.1,0.0,0.0808659270405769,0.0780319273471832,0.0780319273471832,1.0,0.9265999794006348,0.0,0.0,False,0.9033859099894078,0.4541419651749873,0.0122210039522096,0.0145221077626715,0.0207961559295654,1.0,1.0,,,,cifar10,
CRC-Select,999,0.15,0.0,0.0782251805067062,0.0773169249296188,0.0773169249296188,1.0,0.9276000261306764,0.0,0.0,False,0.9065326905529388,0.4561744458778233,0.0123617914284839,0.0128901622625575,0.071148657798767,1.0,1.0,,,,cifar10,
CRC-Select,999,0.2,0.0,0.0813223868608474,0.0772523507475853,0.0772523507475853,1.0,0.9277999997138976,0.0,0.0,False,0.9043216640323308,0.438813995552932,0.0128218828981028,0.0139109915101477,0.1216311126947403,1.0,1.0,,,,cifar10,
vanilla,42,0.01,0.8778778910636902,0.0096690747886896,0.0118650896474719,0.0151960672810673,0.7807999849319458,0.9861680269241332,0.2192000150680542,0.0018650896474719,True,0.9051902667825716,0.4841321064081735,0.0132603088009779,0.0146838471250986,-0.0013617982715368,0.7652000188827515,1.0185572030871652,,,,cifar10,
